retention_minutes,abs_254nm,abs_280nm
1.463533333,-0.942707062,-0.546455383
1.4702,-0.942707062,-0.545501709
1.476866667,-0.942707062,-0.544071198
1.483533333,-0.942707062,-0.542163849
1.4902,-0.942707062,-0.5402565
1.496866667,-0.942707062,-0.538825989
1.503533333,-0.942707062,-0.537872314
1.5102,-0.942230225,-0.536441803
1.516866667,-0.94127655,-0.535011292
1.523533333,-0.940799713,-0.534534454
1.5302,-0.940799713,-0.534534454
1.536866667,-0.940322876,-0.535011292
1.543533333,-0.939369202,-0.535488129
1.5502,-0.938892365,-0.536441803
1.556866667,-0.939846039,-0.537872314
1.563533333,-0.940322876,-0.538349152
1.5702,-0.940322876,-0.537872314
1.576866667,-0.939846039,-0.536441803
1.583533333,-0.939846039,-0.535964966
1.5902,-0.939846039,-0.535488129
1.596866667,-0.939369202,-0.535011292
1.603533333,-0.938415527,-0.535488129
1.6102,-0.93793869,-0.535964966
1.616866667,-0.938415527,-0.535488129
1.623533333,-0.939369202,-0.535011292
1.6302,-0.940799713,-0.534534454
1.636866667,-0.942230225,-0.534534454
1.643533333,-0.944137573,-0.534057617
1.6502,-0.945568085,-0.53358078
1.656866667,-0.946998596,-0.534534454
1.663533333,-0.946998596,-0.535011292
1.6702,-0.946998596,-0.535488129
1.676866667,-0.946521759,-0.535011292
1.683533333,-0.945568085,-0.534057617
1.6902,-0.94461441,-0.533103943
1.696866667,-0.943183899,-0.531673431
1.703533333,-0.941753387,-0.531196594
1.7102,-0.939846039,-0.53024292
1.716866667,-0.938415527,-0.529766083
1.723533333,-0.936508179,-0.529766083
1.7302,-0.936031342,-0.53024292
1.736866667,-0.936031342,-0.530719757
1.743533333,-0.936508179,-0.531196594
1.7502,-0.936508179,-0.531196594
1.756866667,-0.937461853,-0.531673431
1.763533333,-0.938415527,-0.531673431
1.7702,-0.940322876,-0.532150269
1.776866667,-0.941753387,-0.532150269
1.783533333,-0.943183899,-0.532627106
1.7902,-0.945091248,-0.53358078
1.796866667,-0.946998596,-0.534057617
1.803533333,-0.948429108,-0.535011292
1.8102,-0.948905945,-0.535964966
1.816866667,-0.948905945,-0.536441803
1.823533333,-0.948429108,-0.536441803
1.8302,-0.945568085,-0.535488129
1.836866667,-0.938892365,-0.530719757
1.843533333,-0.925540924,-0.520706177
1.8502,-0.905036926,-0.504016876
1.856866667,-0.877380371,-0.482559204
1.863533333,-0.844478607,-0.457286835
1.8702,-0.809192657,-0.42963028
1.876866667,-0.776767731,-0.40435791
1.883533333,-0.751972198,-0.38433075
1.8902,-0.736713409,-0.370979309
1.896866667,-0.730514526,-0.365257263
1.903533333,-0.732898712,-0.365257263
1.9102,-0.741481781,-0.370025635
1.916866667,-0.754356384,-0.378131866
1.923533333,-0.769615173,-0.38766861
1.9302,-0.7853508,-0.398635864
1.936866667,-0.8020401,-0.409126282
1.943533333,-0.818252563,-0.419139862
1.9502,-0.83398819,-0.428199768
1.956866667,-0.848293304,-0.436306
1.963533333,-0.860214233,-0.443458557
1.9702,-0.869274139,-0.449180603
1.976866667,-0.874519348,-0.453472137
1.983533333,-0.877380371,-0.45633316
1.9902,-0.878334045,-0.458717346
1.996866667,-0.878334045,-0.459671021
2.003533333,-0.878334045,-0.460624695
2.0102,-0.878334045,-0.462055206
2.016866667,-0.87928772,-0.463962555
2.023533333,-0.881195068,-0.465869904
2.0302,-0.883102417,-0.467300415
2.036866667,-0.884056091,-0.468730927
2.043533333,-0.884532928,-0.470161438
2.0502,-0.885009766,-0.470161438
2.056866667,-0.885009766,-0.470161438
2.063533333,-0.885009766,-0.469684601
2.0702,-0.884532928,-0.470161438
2.076866667,-0.884056091,-0.471115112
2.083533333,-0.88262558,-0.472068787
2.0902,-0.881195068,-0.472545624
2.096866667,-0.879764557,-0.473022461
2.103533333,-0.878334045,-0.473499298
2.1102,-0.876903534,-0.473499298
2.116866667,-0.876903534,-0.474452972
2.123533333,-0.877380371,-0.476360321
2.1302,-0.878810883,-0.47826767
2.136866667,-0.881195068,-0.480651855
2.143533333,-0.883579254,-0.483512878
2.1502,-0.886440277,-0.486373901
2.156866667,-0.889778137,-0.48828125
2.163533333,-0.893592834,-0.489234924
2.1702,-0.897884369,-0.490188599
2.176866667,-0.902175903,-0.491142273
2.183533333,-0.905990601,-0.492572784
2.1902,-0.909805298,-0.494003296
2.196866667,-0.913619995,-0.495433807
2.203533333,-0.917434692,-0.497817993
2.2102,-0.920295715,-0.499725342
2.216866667,-0.922679901,-0.50163269
2.223533333,-0.925064087,-0.504016876
2.2302,-0.927448273,-0.506401062
2.236866667,-0.929832458,-0.508308411
2.243533333,-0.932693481,-0.509738922
2.2502,-0.935554504,-0.511169434
2.256866667,-0.938892365,-0.512123108
2.263533333,-0.942230225,-0.512123108
2.2702,-0.945568085,-0.512123108
2.276866667,-0.948429108,-0.512123108
2.283533333,-0.950813293,-0.513076782
2.2902,-0.953197479,-0.513553619
2.296866667,-0.955104828,-0.513553619
2.303533333,-0.957012177,-0.513076782
2.3102,-0.959396362,-0.512599945
2.316866667,-0.961303711,-0.511646271
2.323533333,-0.962734222,-0.510692596
2.3302,-0.964164734,-0.510215759
2.336866667,-0.964641571,-0.510215759
2.343533333,-0.964641571,-0.511169434
2.3502,-0.964164734,-0.512599945
2.356866667,-0.963687897,-0.513553619
2.363533333,-0.962734222,-0.514507294
2.3702,-0.96321106,-0.514984131
2.376866667,-0.964641571,-0.514984131
2.383533333,-0.96654892,-0.515460968
2.3902,-0.968456268,-0.515937805
2.396866667,-0.970363617,-0.516414642
2.403533333,-0.972270966,-0.516414642
2.4102,-0.974178314,-0.517368317
2.416866667,-0.977039337,-0.518798828
2.423533333,-0.97990036,-0.521183014
2.4302,-0.982761383,-0.5235672
2.436866667,-0.98657608,-0.525951385
2.443533333,-0.989437103,-0.527858734
2.4502,-0.991821289,-0.529766083
2.456866667,-0.993251801,-0.53024292
2.463533333,-0.993728638,-0.529766083
2.4702,-0.993728638,-0.528812408
2.476866667,-0.992774963,-0.527381897
2.483533333,-0.991344452,-0.525474548
2.4902,-0.989437103,-0.524044037
2.496866667,-0.987052917,-0.523090363
2.503533333,-0.983715057,-0.522136688
2.5102,-0.979423523,-0.521659851
2.516866667,-0.975131989,-0.521183014
2.523533333,-0.96988678,-0.520706177
2.5302,-0.963687897,-0.518798828
2.536866667,-0.955104828,-0.515937805
2.543533333,-0.942230225,-0.509738922
2.5502,-0.923156738,-0.498771667
2.556866667,-0.89597702,-0.483512878
