sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	deadtime	data_file
PE1_WT	G6	4.5	5	20180824	0.008	4250	8489.25	1350		exp	exp	0.15		0	data/20180824_GEF_FRET_assay4.txt
PE1_WT	C6	4.5	5	20181106	0.008	3900	4900	1350		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE1_WT	E1	5	5	20180824	0.008	4500	9100	1500		exp	exp	0.15		0	data/20180824_GEF_FRET_assay3.txt
PE1_WT	A5	5	5	20181003	0.008	4200	8500	1500		exp	exp	0.15		0	data/20181003_GEF_FRET_assay3.txt
PE1_WT	G1	5.5	5	20181106	0.007	4300	5000	1650		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE1_WT	A1	6	5	20180906	0.007	4200	9000	1800		exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C1	6	5	20180906	0.007	4800	10500	1800		exp	exp	0.15		0	data/20180906_GEF_FRET_assay9.txt
PE1_WT	A6	6	5	20181003	0.007	4800	10500	1800		exp	exp	0.15		0	data/20181003_GEF_FRET_assay3.txt
PE1_WT	E2	7	5	20180824	0.007	5000	12500	2100		exp	exp	0.15		0	data/20180824_GEF_FRET_assay3.txt
PE1_WT	C1	7	5	20181003	0.007	5000	12000	2100		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	G2	7	5	20181106	0.006	5500	6800	2100		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE1_WT	E3	8	5	20180824	0.007	6500	15000	2400		exp	exp	0.15		0	data/20180824_GEF_FRET_assay3.txt
PE1_WT	A2	8	5	20180906	0.007	6000	14000	2400		exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C2	8	5	20180906	0.007	6500	13500	2400		exp	exp	0.15		0	data/20180906_GEF_FRET_assay9.txt
PE1_WT	C2	8	5	20181003	0.007	7000	14500	2400		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	G3	8	5	20181106	0.005	6200	8300	2400		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE1_WT	A3	9	5	20180906	0.007	5900	17000	2700	3000	exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C3	9	5	20181003	0.007	8000	16500	2700		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	G4	9	5	20181106	0.005	7000	9900	2700		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE1_WT	E5	10	5	20180824	0.007	8000	20000	3000		exp	exp	0.15		0	data/20180824_GEF_FRET_assay3.txt
PE1_WT	A4	10	5	20180906	0.007	8000	20000	3000		exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C4	10	5	20181003	0.007	8000	19000	3000		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	C4	10	5	20181003	0.007	8300	19000	3000		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	G5	10	5	20181106	0.005	7600	11200	3000		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE1_WT	A5	11	5	20180906	0.007	8300	21000	3300	4000	exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C5	11	5	20181003	0.007	7800	21000	3300		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	E6	12	5	20180824	0.007	9000	23638	3600		exp	exp	0.15		0	data/20180824_GEF_FRET_assay3.txt
PE1_WT	A6	12	5	20180906	0.007	9000	22638	3600	3000	exp	exp	0.15		0	data/20180906_GEF_FRET_assay8.txt
PE1_WT	C6	12	5	20181003	0.007	9000	22638	3600		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	C6	12	5	20181003	0.007	9000	22638	3600		exp	exp	0.15		0	data/20181003_GEF_FRET_assay4.txt
PE1_WT	G6	12	5	20181106	0.004	8600	13900	3600		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE10_G80A	E1	0.25	5	20180904	0.03	190	469.5	75		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE10_G80A	A1	0.25	5	20190110	0.009	48	47	29		exp	exp	0.1	125	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	E1	0.5	5	20180904	0.01	450	400	150		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE10_G80A	A2	0.5	5	20190110	0.0064	109	91	54		exp	exp	0.1		0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	E2	0.75	5	20180904	0.01	750	1100	225		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE10_G80A	A3	0.75	5	20190110	0.0053	179	140	77		exp	exp	0.1		0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	E2	1	5	20180904	0.008	930	750	300		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE10_G80A	A4	1	5	20190110	0.0047	242	187	97		exp	exp	0.1		0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	E3	1.25	5	20180904	0.007	1500	1300	375		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E3	1.5	5	20180904	0.006	1400	1200	450		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE10_G80A	A5	1.5	5	20190110	0.0037	359	287	130		exp	exp	0.1		0	data/20190110_GEF_FRET_assay4.txt
