Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YGL097W	F58A	1.22980573673565	1.31087517774926	0.938156246765766	36	0.354416051875199	0.679900181148341	NA	0.573770491803279	0.377049180327869
YGL164C	F58A	0.523882343937635	0.552919840957136	0.947483351349382	35	0.349888808374438	0.679900181148341	NA	0.415966386554622	0.38655462184874
YGL171W	F58A	-2.17899075129134	1.3672821724981	-1.59366573712448	32	0.120841917180367	0.366423877901757	NA	0.803571428571429	0.339285714285714
YGL201C	F58A	-0.266974470977308	0.930744470487273	-0.286839706753819	11	0.77956593946312	0.914783395452225	NA	0.976190476190476	0.226190476190476
YGL234W	F58A	-1.35856346499778	0.764166581060029	-1.77783679458113	36	0.0838791420596574	0.271884115641648	NA	0.616204690831556	0.5863539445629
YGR155W	F58A	-0.450922843938313	0.794445158640103	-0.567594677913556	36	0.573833194032116	0.840576159480629	NA	0.763265306122449	0.73469387755102
YGR163W	F58A	0.297479850311734	1.21304286068875	0.245234410054422	15	0.809598393626037	0.914783395452225	NA	0.910714285714286	0.285714285714286
YGR192C	F58A	-1.52753620681825	0.802116919257168	-1.90438098255412	36	0.0648758960203901	0.226774397042531	NA	0.490476190476191	0.357142857142857
YGR204W	F58A	-0.164256616373739	1.6311993917908	-0.100696835224669	23	0.920663770231762	0.972386453952647	NA	0.948571428571429	0.497142857142857
YGR253C	F58A	-1.46313729684135	1.02954054793298	-1.42115558224385	14	0.177162225976063	0.450087817344594	NA	0.875	0.25
YGR254W	F58A	1.29644459579144	0.965524255704337	1.34273643373744	33	0.188520985115291	0.453435125058369	NA	0.857142857142857	0.714285714285714
YHL020C	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.952380952380952	0.19047619047619
YHR122W	F58A	-0.298730902719631	1.27735765565862	-0.233866295313823	20	0.817466012957307	0.914783395452225	NA	0.857142857142857	0.571428571428571
YHR179W	F58A	-1.65474430474282	0.877941634780826	-1.88479989920506	36	0.0675498203956475	0.226774397042531	NA	0.645320197044335	0.541871921182266
YIL003W	F58A	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YIL110W	F58A	0.581100019798473	1.20367663663747	0.482770872268323	11	0.638722968568477	0.857713700649098	NA	0.956043956043956	0.252747252747253
YJL123C	F58A	-0.711308441075564	0.647441327784506	-1.09864540700484	36	0.279216332339743	0.596507619089452	NA	0.729323308270677	0.62406015037594
YJL165C	F58A	-0.203769728101982	1.20782441779098	-0.168708071388937	10	0.869389859923491	0.951154932450538	NA	0.964285714285714	0.178571428571429
YJL176C	F58A	-0.383181542518338	0.731088146705101	-0.524124955718783	27	0.604468092737948	0.840576159480629	NA	0.816326530612245	0.530612244897959
YJL196C	F58A	-0.663724615292857	1.49712786241213	-0.443331950434401	30	0.660706445526662	0.874738110978961	NA	0.666666666666667	0.238095238095238
YJR072C	F58A	-1.42675824718809	0.515073133603106	-2.77001100252977	36	0.00880875164568962	0.0580551459679132	NA	0.75	0.65
YJR074W	F58A	1.11510825881417	0.434000472282111	2.5693710722262	36	0.0144766647154331	0.0791714815653332	NA	0.414285714285714	0.364285714285714
YKL029C	F58A	-0.707350303900961	0.692329904897401	-1.02169543579919	14	0.32425649802489	0.675596001886385	NA	0.937888198757764	0.360248447204969
YKL033W	F58A	0.181626814369537	0.766481352378328	0.236961817539283	18	0.815362289286305	0.914783395452225	NA	0.920634920634921	0.555555555555556
YKL035W	F58A	-0.431555934835596	0.825399092373465	-0.522845177348864	35	0.604376343725245	0.840576159480629	NA	0.817460317460317	0.706349206349206
