Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YKL035W	A180T	-2.48330059596507	0.718809369419192	-3.45474155125664	35	0.00146060840554663	0.0657273782495982	NA	0.682539682539683	0.571428571428571
YKL104C	A180T	-1.21039704290096	0.645841632711369	-1.87413907929639	36	0.0690449580871708	0.690449580871708	NA	0.820779220779221	0.72987012987013
YKL106W	A180T	0.401645513708724	0.786438508075157	0.510714454575436	24	0.61421691431612	0.993271906600393	NA	0.96	0.636190476190476
YKR025W	A180T	-1.94345210672979	0.892527347039382	-2.17747065473842	32	0.036930257087378	0.528851299899858	NA	0.654135338345865	0.443609022556391
YKR026C	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLL021W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLL034C	A180T	0.115264241093148	0.58352929320029	0.197529485556751	36	0.844524316687308	0.993271906600393	NA	0.913348946135831	0.667447306791569
YLL040C	A180T	-0.286051547255055	0.385960970375637	-0.741141123613238	35	0.463551819849878	0.993271906600393	NA	0.93002915451895	0.766763848396501
YLR032W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLR048W	A180T	-0.71510794154278	0.72219956896321	-0.990180515573263	30	0.330005511600364	0.993271906600393	NA	0	0
YLR060W	A180T	-0.0262067069026744	0.764662007243966	-0.0342722754032594	29	0.972894845919419	0.993271906600393	NA	0.946428571428571	0.601190476190476
YLR071C	A180T	-0.589324129908885	0.697662173849966	-0.844712744933224	17	0.410002179857777	0.993271906600393	NA	0.961904761904762	0.19047619047619
YLR104W	A180T	-0.141943364089261	1.06772834904163	-0.132939585444806	17	0.895802087513121	0.993271906600393	NA	0.938775510204082	0.142857142857143
YLR106C	A180T	-0.339363513867585	0.378732858327248	-0.896049831447035	36	0.376178984751202	0.993271906600393	NA	0.927659574468085	0.825531914893617
YLR196W	A180T	-0.274441147298934	0.801117879644024	-0.342572740257504	28	0.734478333058989	0.993271906600393	NA	0.883928571428571	0.419642857142857
YLR243W	A180T	-0.0827353924883226	0.514672486720837	-0.160753478421703	36	0.873186273172958	0.993271906600393	NA	0.825396825396825	0.825396825396825
YLR249W	A180T	-0.695332372386784	0.401128342980496	-1.73344114060918	36	0.0915758631074104	0.824182767966694	NA	0.706275033377837	0.622162883845127
YLR259C	A180T	-0.359214153779011	0.588236721847406	-0.610662579260386	36	0.54525936463061	0.993271906600393	NA	0.764411027568922	0.746867167919799
YLR293C	A180T	0.2662813414973	0.528119942639108	0.504206184993973	36	0.617188609041889	0.993271906600393	NA	0.479591836734694	0.396258503401361
YLR301W	A180T	-0.37694119915427	1.18462752486173	-0.318193855235863	16	0.754453399116124	0.993271906600393	NA	0.885714285714286	0.314285714285714
YLR304C	A180T	-0.542318658637449	1.26498482054976	-0.42871554648518	28	0.671410588437974	0.993271906600393	NA	0.963455149501661	0.59468438538206
YLR314C	A180T	0.199723282830252	0.761388902864139	0.262314412620078	19	0.79590205913095	0.993271906600393	NA	0.978571428571429	0.221428571428571
